X,Y,NROBARRIO,BARRIO,CODBA
-56.087509774046801,-34.779000009462081,32,MANGA TOLEDO CHICO,MT
-56.089275423192518,-34.780357599273366,32,MANGA TOLEDO CHICO,MT
-56.097165860430167,-34.784546550641068,32,MANGA TOLEDO CHICO,MT
-56.100819403787554,-34.786404827705958,32,MANGA TOLEDO CHICO,MT
-56.101924318843679,-34.786965876149146,32,MANGA TOLEDO CHICO,MT
-56.107073269797411,-34.78958248174856,32,MANGA TOLEDO CHICO,MT
-56.108435587956663,-34.789457847866643,32,MANGA TOLEDO CHICO,MT
-56.108794003693461,-34.789425521560915,32,MANGA TOLEDO CHICO,MT
-56.117839815721375,-34.793944127725098,32,MANGA TOLEDO CHICO,MT
-56.117866183483557,-34.794173926486984,32,MANGA TOLEDO CHICO,MT
-56.12010630166629,-34.79892828713318,32,MANGA TOLEDO CHICO,MT
-56.120258516467629,-34.799004561813966,32,MANGA TOLEDO CHICO,MT
-56.120684256734293,-34.799386693268957,32,MANGA TOLEDO CHICO,MT
-56.122132458283964,-34.800086494512271,32,MANGA TOLEDO CHICO,MT
-56.122818245753955,-34.800413941114208,32,MANGA TOLEDO CHICO,MT
-56.122992692856357,-34.800499175553981,32,MANGA TOLEDO CHICO,MT
-56.12343700035273,-34.800709988284758,32,MANGA TOLEDO CHICO,MT
-56.125085683451012,-34.80150394195995,32,MANGA TOLEDO CHICO,MT
-56.126321300448325,-34.800022788830333,32,MANGA TOLEDO CHICO,MT
-56.127398374062366,-34.798726778877985,32,MANGA TOLEDO CHICO,MT
-56.127432260639573,-34.798650080930166,32,MANGA TOLEDO CHICO,MT
-56.129320620928425,-34.79873581945629,32,MANGA TOLEDO CHICO,MT
-56.136071269329875,-34.799661809588478,32,MANGA TOLEDO CHICO,MT
-56.136157918923288,-34.799733714272925,32,MANGA TOLEDO CHICO,MT
-56.136366978326379,-34.800431800057083,32,MANGA TOLEDO CHICO,MT
-56.136341732997693,-34.799954117437956,32,MANGA TOLEDO CHICO,MT
-56.136435705485233,-34.799778118776807,32,MANGA TOLEDO CHICO,MT
-56.143931613365105,-34.800882163672576,32,MANGA TOLEDO CHICO,MT
-56.14330346201622,-34.803682558415311,32,MANGA TOLEDO CHICO,MT
-56.143246057238947,-34.803673685250132,32,MANGA TOLEDO CHICO,MT
-56.142783011490337,-34.806054519522995,32,MANGA TOLEDO CHICO,MT
-56.14312808424819,-34.806094236769276,32,MANGA TOLEDO CHICO,MT
-56.144617809360881,-34.806293389319364,32,MANGA TOLEDO CHICO,MT
-56.147514243288505,-34.806678325224283,32,MANGA TOLEDO CHICO,MT
-56.148977675813839,-34.806872982735484,32,MANGA TOLEDO CHICO,MT
-56.155225652131669,-34.807668459032101,32,MANGA TOLEDO CHICO,MT
-56.155363009882471,-34.807686136427989,32,MANGA TOLEDO CHICO,MT
-56.160480225163049,-34.808367042128978,32,MANGA TOLEDO CHICO,MT
-56.160643523491807,-34.808380139231303,32,MANGA TOLEDO CHICO,MT
-56.161442256808158,-34.808445667680402,32,MANGA TOLEDO CHICO,MT
-56.164497481116264,-34.808874855220054,32,MANGA TOLEDO CHICO,MT
-56.167687733762584,-34.81195372172602,32,MANGA TOLEDO CHICO,MT
-56.167929483922393,-34.812200964512641,32,MANGA TOLEDO CHICO,MT
-56.169353215867126,-34.813643919307466,32,MANGA TOLEDO CHICO,MT
-56.16999222354292,-34.814246149744662,32,MANGA TOLEDO CHICO,MT
-56.171041241081873,-34.81523037207711,32,MANGA TOLEDO CHICO,MT
-56.172770136907019,-34.816857253497567,32,MANGA TOLEDO CHICO,MT
-56.174489770573757,-34.818542725640945,32,MANGA TOLEDO CHICO,MT
-56.175799532264065,-34.819787604093136,32,MANGA TOLEDO CHICO,MT
-56.177607438854707,-34.821648563114501,32,MANGA TOLEDO CHICO,MT
-56.177726455041878,-34.821769926007299,32,MANGA TOLEDO CHICO,MT
-56.179700809540719,-34.823801662638125,32,MANGA TOLEDO CHICO,MT
-56.181240752490027,-34.825329786684733,32,MANGA TOLEDO CHICO,MT
-56.183429940282899,-34.827478047929596,32,MANGA TOLEDO CHICO,MT
-56.183562277340947,-34.827428102554627,32,MANGA TOLEDO CHICO,MT
-56.183787778093162,-34.827355362465468,32,MANGA TOLEDO CHICO,MT
-56.184119451093842,-34.827349930472437,32,MANGA TOLEDO CHICO,MT
-56.18435131193786,-34.827245622725378,32,MANGA TOLEDO CHICO,MT
-56.185070799664395,-34.826765871638507,32,MANGA TOLEDO CHICO,MT
-56.185450378727715,-34.826034677930636,32,MANGA TOLEDO CHICO,MT
-56.185098732195321,-34.825003563488167,32,MANGA TOLEDO CHICO,MT
-56.185391165365942,-34.824430358015448,32,MANGA TOLEDO CHICO,MT
-56.185336130035004,-34.823840097321046,32,MANGA TOLEDO CHICO,MT
-56.185281132638913,-34.823258850403313,32,MANGA TOLEDO CHICO,MT
-56.185901645725991,-34.822892045896722,32,MANGA TOLEDO CHICO,MT
-56.186394520476718,-34.822719397119428,32,MANGA TOLEDO CHICO,MT
-56.18681482954608,-34.82251089456755,32,MANGA TOLEDO CHICO,MT
-56.187035457338546,-34.822420134228523,32,MANGA TOLEDO CHICO,MT
-56.187150468516869,-34.822230517188963,32,MANGA TOLEDO CHICO,MT
-56.187539043999905,-34.822031115428693,32,MANGA TOLEDO CHICO,MT
