X,Y,COD_NOMBRE,COD_NOMB_1
-56.348380993790471,-34.790414087208752,6774,8982
-56.348544215915766,-34.790472002244854,6774,5514
-56.253322858647259,-34.886313326823547,2466,2466
-56.252249389667774,-34.886159189014997,2466,2466
-56.253495302657207,-34.885447417792953,6004,6004
-56.268944483171296,-34.886318390035356,3256,1870
-56.269191781601364,-34.885682051015607,3256,6196
-56.348633219003297,-34.7903409317098,5514,8982
-56.316892891328195,-34.883040808380485,377,2935
-56.315933267601345,-34.886194861096648,377,2383
-56.254381290602474,-34.88646750582101,2466,2466
-56.254556391330851,-34.885588065631353,7350,3372
-56.258318249350054,-34.886521774729296,3372,4989
-56.258653290814024,-34.886119518057477,3372,3372
-56.274625422982226,-34.886483210420124,5158,4243
-56.273422661991425,-34.885730297032943,5158,6685
-56.274579839257505,-34.886001131532467,4243,6196
-56.255481475745,-34.886630548307245,2466,5595
-56.255665021189635,-34.885733050362902,5595,5595
-56.263317879311693,-34.886752537239332,3372,3372
-56.262238279461968,-34.886607522712332,3372,2991
-56.257693533450684,-34.886830369842762,4989,4989
-56.253143410894474,-34.887215314413055,6004,5715
-56.254218514959355,-34.88735141103875,5715,7350
-56.255314794332243,-34.887482919674731,5715,5595
-56.347367651367989,-34.790932070741249,6873,8982
-56.347016322865187,-34.790766763351016,6873,8000
-56.250804562221106,-34.887786517492522,7221,7221
-56.249731486712982,-34.887645877001042,7221,1908
-56.19696688315873,-34.791509861372376,6093,6093
-56.199956381437829,-34.790013860762066,6093,6093
-56.275640664015349,-34.885952305551932,1421,6196
-56.27530063112674,-34.887805853411258,1421,1421
-56.248125411876643,-34.798792088304786,5505,5505
-56.24961174283623,-34.799949954917551,5505,5505
-56.271162524154839,-34.887870020667329,2648,2209
-56.270364396851789,-34.887755638861002,2648,2648
-56.251880078678823,-34.887936154156954,7221,7221
-56.351906757857911,-34.791025914366266,831,831
-56.352437643005359,-34.790234981730777,831,4815
-56.252965876612009,-34.888090253667542,7221,6004
-56.254028410562221,-34.888239914895344,7221,7350
-56.255122420623827,-34.88839396744126,7221,5595
-56.256326193950969,-34.791661612775549,3831,4410
-56.256912678971894,-34.791154844872636,3831,4530
-56.247203986906442,-34.889146065413833,300,7008
-56.24610935406708,-34.888986125268595,300,2475
-56.134396853326216,-34.792116558369671,7964,939
-56.248324231316673,-34.889282064545142,300,3150
-56.258700135480126,-34.889256174745107,4989,300
-56.249380872777515,-34.889413758223469,300,1908
-56.250456705559792,-34.889554392466287,300,5628
-56.259690541013292,-34.889401525114415,4989,4989
-56.245948435398759,-34.889866817866057,534,2475
-56.244833463252469,-34.889722645974871,534,7299
-56.247028072937582,-34.890016483721887,534,7008
-56.242721491777999,-34.792193617801715,2670,3186
-56.242477754046128,-34.792419764334205,2670,2670
-56.248143289233887,-34.890170528780104,534,3150
-56.249203448750379,-34.890320239935157,534,534
-56.250271772249256,-34.890460900738653,534,5628
-56.252322806033916,-34.792594512434817,4569,4569
-56.250810763332176,-34.791396199978387,4569,3276
-56.251325057598031,-34.89060160245257,534,1038
-56.253589284475765,-34.791490558311843,3918,3918
-56.252420097544906,-34.89075116877963,534,6004
-56.25349604198194,-34.890909803294988,534,7350
-56.249335456513847,-34.792676592501813,3276,3276
-56.255125678789064,-34.792702274906446,4341,3831
-56.30796030115323,-34.734462494822054,6924,1195
-56.309076074631406,-34.731533189824958,6924,6924
-56.250415813523304,-34.895003393431708,6690,1038
-56.251493474770228,-34.89515302577405,6690,6004
-56.294364610215524,-34.893304358911649,3841,1994
-56.247396191850555,-34.89371544537299,4350,3150
-56.246331503569778,-34.8935567198439,4350,7008
-56.099880355377017,-34.793464800384768,6696,6696
-56.10334676100188,-34.795282826532492,6696,6696
-56.226508989447993,-34.79933956637187,2427,2427
-56.225749758102481,-34.799761096284151,2427,2427
-56.293950915508262,-34.89363851594365,3995,1994
-56.251673751772195,-34.894273573448373,6004,4350
-56.250603050019663,-34.894146453973569,4350,1038
-56.293659422454269,-34.893860363540703,5126,1994
-56.235504921452346,-34.793676543616684,2213,2427
-56.235086910001321,-34.793054194536296,2213,2043
-56.313505257584602,-34.894154429743338,377,377
-56.247242768369524,-34.894572268086712,3150,6690
-56.266415398533312,-34.88107662907143,5558,5416
-56.266372365213513,-34.881752816775169,5558,1426
-56.249355955649136,-34.894858199147102,6690,6690
-56.24828413582339,-34.894713035330092,6690,6690
-56.250997411120423,-34.796312704369953,7197,3831
-56.24945046776579,-34.79510998547164,7197,3918
-56.252427155601538,-34.795063993867217,3831,3831
-56.251051539737965,-34.798714748469692,4533,3186
-56.246458817046559,-34.795169474654543,3186,3276
-56.248019267459235,-34.796349652040732,3186,3918
-56.243630276530929,-34.797617060993446,3276,3276
-56.245056827827625,-34.796386475188825,3276,5505
-56.243561957637787,-34.795201537751495,5505,3003
-56.275568351620379,-34.864697904025761,9469,9469
-56.274268405547133,-34.864517719840407,9471,9471
-56.27412029939088,-34.875271776341656,9262,4584
-56.255996138120366,-34.79554027913548,8866,4569
-56.254599474251087,-34.796769352801917,8866,5337
-56.259363223052773,-34.796464768109487,5101,5101
-56.25904208625149,-34.795956572258056,5101,5101
-56.245834608193668,-34.797001371802466,5505,5044
-56.148766583209515,-34.797192459561899,7895,7898
-56.150237455229224,-34.797319479060938,7895,7897
-56.273338721783936,-34.876138983397368,9264,9264
-56.273144123240485,-34.875140013170991,9264,4584
-56.24791791051296,-34.793907198818211,3276,3276
-56.260754974633493,-34.889379858012859,4989,4989
-56.316049811871686,-34.814899240090035,6515,831
-56.274223421163391,-34.827524858565098,5242,4383
-56.267316190452192,-34.871946975024329,8023,8023
-56.191905734297293,-34.821527469835431,4870,4822
-56.193279465326299,-34.821018759238285,4870,5706
-56.158233571976425,-34.80491147455529,1336,1336
-56.158066146130601,-34.805610491249261,1336,5442
-56.159598130351199,-34.805061189118597,1334,1333
-56.317414425422172,-34.814204381236962,831,8140
-56.23833109114932,-34.82301313108254,8582,8583
-56.238096336296231,-34.822707416300652,8582,6644
-56.237508150602849,-34.823502544095852,8583,3842
-56.247901904644024,-34.866861491787759,5323,5320
-56.231327671559001,-34.835740737087669,3100,4046
-56.230364467576116,-34.836298151716143,3100,2341
-56.243747009869075,-34.800086508340911,4728,3918
-56.242205563318727,-34.798883679923662,4728,3276
-56.204056740329221,-34.810139087315797,8000,7269
-56.268498205523443,-34.86997333159691,9406,9346
-56.268946730484757,-34.869795996850868,9406,9347
-56.269365565970318,-34.869627778032132,9348,9406
-56.27776005937146,-34.851340568963437,2365,2357
-56.275089473597106,-34.851169772689815,2365,2365
-56.240787934586656,-34.800141245064445,3276,3726
-56.295211799313506,-34.765081373986277,8000,3799
